question,gemini_rag_rating,llama_no_rag_rating,gemini_rag_time,llama_no_rag_time
Tình huống: Một quản tài viên đã từ chối cung cấp dịch vụ cho một gia đình vì lý do cá nhân. Câu hỏi: Việc từ chối cung cấp dịch vụ có phải là vi phạm pháp luật không và quản tài viên có thể phải đối mặt với hậu quả pháp lý nào?,85.0,70.0,5.741232395172119,3.7764463424682617
"Tình huống: Công ty A và công ty B có một tranh chấp thương mại liên quan đến việc giao hàng trễ. Công ty A muốn giải quyết tranh chấp thông qua hòa giải thương mại thay vì đi tới tòa án. Câu hỏi: Trong trường hợp này, công ty A cần chuẩn bị những gì để tiến hành quá trình hòa giải thương mại?",90.0,75.0,5.996001482009888,2.011650323867798
"Tình huống: Sau khi hoàn thành quá trình hòa giải thương mại, công ty C nhận ra rằng họ không hài lòng với kết quả. Câu hỏi: Công ty C có quyền nào để kháng cáo hoặc yêu cầu xem xét lại kết quả hòa giải thương mại?",95.0,50.0,4.340968132019043,2.710785150527954
"Tình huống: Trong quá trình hòa giải thương mại giữa công ty D và công ty E, một trong những bên đã vi phạm các điều khoản của thỏa thuận hòa giải. Câu hỏi: Điều gì sẽ xảy ra nếu một bên vi phạm các điều khoản của thỏa thuận hòa giải trong quá trình hòa giải thương mại?",75.0,75.0,5.464721918106079,1.5977237224578857
"Tình huống: Bạn là một doanh nghiệp nhỏ mới thành lập và muốn hiểu rõ hơn về quy định pháp luật liên quan đến việc thuê nhân viên.Câu hỏi: Theo quy định của pháp luật Việt Nam, những điều kiện nào cần được đáp ứng khi thuê một nhân viên?",95.0,75.0,7.105041027069092,1.9749999046325684
"Tình huống: Bạn là một người dân tình cờ phát hiện ra một hoạt động kinh doanh trái phép trong khu vực của mình.Câu hỏi: Trong trường hợp phát hiện hoạt động kinh doanh trái phép, bạn có quyền và nghĩa vụ gì theo quy định của pháp luật?",95.0,90.0,3.798611640930176,1.8505778312683105
"Tình huống: Bạn là một người tiêu dùng đã mua một sản phẩm hỏng từ một cửa hàng trực tuyến và muốn biết quyền lợi của mình.Câu hỏi: Khi mua hàng trực tuyến, nếu sản phẩm bị hỏng hoặc không giống như mô tả, bạn có quyền được đổi trả hàng theo quy định của pháp luật như thế nào?",75.0,70.0,5.7619030475616455,2.905385971069336
"Tình huống: Anh Bình, người có quyền nuôi con sau khi ly hôn, muốn cho con gái mình, bé Nhi, được theo học ở nước ngoài. Tuy nhiên, cựu vợ anh không đồng ý với quyết định này. Anh Bình có quyền đưa ra quyết định này mà không cần sự đồng ý của cựu vợ không?",90.0,75.0,4.564720869064331,1.4717552661895752
"Nếu tôi muốn nhập quốc tịch Việt Nam, tôi cần đáp ứng điều kiện gì?",95.0,70.0,3.913463592529297,1.5755603313446045
Tổng kết,92.61363636363636,80.22727272727273,8.264919706366278,2.480790842663158
